,start,end,timenow,time,num
58,"(24.1837584, 120.6037066)","(24.1810665, 120.5316598)",2018-01-09 13:47:00,24 だ,1.0
59,"(24.1837584, 120.6037066)","(24.1618909, 120.696055)",2018-01-09 22:27:00,33 だ,1.0
60,"(24.1837584, 120.6037066)","(24.1635377, 120.6222345)",2018-01-09 22:25:00,17 だ,1.0
61,"(24.1837584, 120.6037066)","(24.1875515, 120.6050038)",2018-01-09 08:12:00,4 だ,1.0
62,"(24.1837584, 120.6037066)","(24.1036901, 120.5526089)",2018-01-09 19:38:00,25 だ,1.0
63,"(24.1837584, 120.6037066)","(24.1306547, 120.5322598)",2018-01-09 15:16:00,24 だ,1.0
64,"(24.1837584, 120.6037066)","(24.1240646, 120.5519256)",2018-01-09 13:24:00,26 だ,1.0
65,"(24.1837584, 120.6037066)","(24.1686303, 120.5302743)",2018-01-09 13:08:00,27 だ,1.0
66,"(24.1837584, 120.6037066)","(24.1361808, 120.6393984)",2018-01-09 10:52:00,24 だ,1.0
67,"(24.1837584, 120.6037066)","(24.1560328, 120.5171527)",2018-01-09 15:59:00,20 だ,1.0
68,"(24.1837584, 120.6037066)","(24.1718398, 120.640493)",2018-01-09 07:02:00,16 だ,1.0
69,"(24.1837584, 120.6037066)","(24.1012173, 120.5482599)",2018-01-09 11:31:00,27 だ,1.0
70,"(24.1837584, 120.6037066)","(24.1438487, 120.5962961)",2018-01-09 03:03:00,21 だ,1.0
71,"(24.1837584, 120.6037066)","(24.1473287, 120.6122505)",2018-01-09 20:08:00,18 だ,1.0
72,"(24.1837584, 120.6037066)","(24.1721801, 120.6770771)",2018-01-09 22:52:00,26 だ,1.0
73,"(24.1837584, 120.6037066)","(24.1108881, 120.5116428)",2018-01-09 10:28:00,25 だ,1.0
74,"(24.1837584, 120.6037066)","(24.1220316, 120.58886)",2018-01-09 15:42:00,26 だ,1.0
75,"(24.1837584, 120.6037066)","(24.1951151, 120.579224)",2018-01-09 10:46:00,11 だ,1.0
76,"(24.1837584, 120.6037066)","(24.1484078, 120.5410353)",2018-01-09 18:07:00,28 だ,1.0
