,cctvid,roadsection,locationpath,startlocationpoint,endlocationpoint,px,py,url
61,64000C000062,民權路(民權一路/民生一路到民權一路/五福二路),2419,2420,2421,120.31046,22.62761,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000062&w=340&h=260
62,64000C000063,民權路(民權一路/五福二路到民權一路/青年一路),2419,2421,2422,120.31087,22.62646,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000063&w=340&h=260
63,64000C000064,民權路(民權一路/四維三路到民權二路/二聖二路),2419,2423,2425,120.31433,22.61730,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000064&w=340&h=260
64,64000C000065,民權路(民權二路/二聖二路到民權二路/中山三路),2419,2425,2427,120.31325,22.61014,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000065&w=340&h=260
65,64000C000066,成功路(成功一路/四維四路到成功二路/復興三路),2303,2311,2313,120.31436,22.64443,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000066&w=340&h=260
66,64000C000067,一心路(一心一路/民權二路到一心一路/和平二路),2486,2490,2492,120.31667,22.60870,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000067&w=340&h=260
67,64000C000068,台 17(漢民路/沿海一路到蓮海路/沿海一路),4432,4506,4507,120.35241,22.56645,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000068&w=340&h=260
68,64000C000069,新生路(新生路/漁港路到新生路/中興路),2514,2518,2532,120.32006,22.57175,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000069&w=340&h=260
69,64000C000070,大順路(大順二路/鼎山街到大順二路/建德路),2153,2158,2160,120.32419,22.64982,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000070&w=340&h=260
70,64000C000071,大順路(大順二路/九如一路到大順三路/河北路),2153,2161,2163,120.30318,22.67037,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000071&w=340&h=260
71,64000C000072,三多路(三多一路/武慶三路到三多一路/自由路),2454,2469,2471,120.33676,22.62401,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000072&w=340&h=260
72,64000C000073,新生路(新生路/凱旋路到新生路/鎮港路),2514,2515,2516,120.30371,22.59090,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000073&w=340&h=260
73,64000C000074,新生路(新生路/中興路到新生路/金福路),2514,2532,2519,120.32347,22.56782,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000074&w=340&h=260
